dataset,name,n,correct,accuracy_pct,delta_pp,wrong_to_right,right_to_wrong,mcnemar_p,mean_tokens,truncated,identical_text_to_base,strict_box_correct,strict_box_accuracy_pct,correct_without_matching_final_box,empty_parse,ci_lower,ci_upper,repeat_all_text_identical,dev_ce64,trainable,method,rank,lr,step,seen_examples,supervised_tokens,mcnemar_holm_p
dev,lora_all64_lr1e-5_s43_step25,500,196,39.2,-21.6,15,123,2.839975645346407e-22,402.366,31,7,177,35.4,19,2,-25.8,-17.4,,0.8219191285788183,73859072,lora,64,1e-05,25,400,85205,2.2719805162771255e-21
dev,lora_qkvo16_lr1e-5_s43_step125,500,238,47.599999999999994,-13.200000000000001,22,88,1.5502748845162157e-10,510.228,28,25,223,44.6,15,0,-17.2,-9.2,,0.7977430893251362,4358144,lora,16,1e-05,125,2000,462407,6.201099538064863e-10
dev,lora_qkvo16_lr1e-5_s43_step25,500,298,59.599999999999994,-1.2,11,17,0.34492845088243484,622.46,31,227,295,59.0,3,0,-3.2,0.8,,0.8365274130665393,4358144,lora,16,1e-05,25,400,85205,1.0
dev,lora_qkvo16_lr1e-5_s44_step25,500,301,60.199999999999996,-0.6,12,15,0.7011080384254456,630.296,34,233,298,59.599999999999994,3,0,-2.6,1.4000000000000001,,0.8357223910335349,4358144,lora,16,1e-05,25,400,88722,1.0
dev,lora_qkvo16_lr1e-5_s45_step25,500,299,59.8,-1.0,9,14,0.4048728942871094,633.296,36,240,296,59.199999999999996,3,0,-3.0,0.8,,0.8377698254986926,4358144,lora,16,1e-05,25,400,89025,1.0
gsm_diagnostic,base,300,219,73.0,0.0,0,0,1.0,302.10333333333335,1,300,218,72.66666666666667,1,0,0.0,0.0,,,,,,,,,,
gsm_diagnostic,full_lr1e-6_fp32_s43_step25,300,165,55.00000000000001,-18.0,25,79,1.0540017368882998e-07,144.27666666666667,7,0,80,26.666666666666668,85,0,-24.333333333333336,-11.666666666666666,,0.748984282158844,1543714304,full,16,1e-06,25,400,85205,5.2700086844415e-07
gsm_diagnostic,full_lr1e-6_fp32_s44_step25,300,161,53.666666666666664,-19.333333333333332,19,77,1.8621521769948975e-09,183.30333333333334,13,0,78,26.0,83,0,-25.333333333333336,-13.333333333333334,,0.746654100706682,1543714304,full,16,1e-06,25,400,88722,1.1172913061969386e-08
gsm_diagnostic,full_lr1e-6_fp32_s45_step25,300,169,56.333333333333336,-16.666666666666664,24,74,4.2159207369916054e-07,117.14,3,0,72,24.0,97,0,-23.0,-10.333333333333334,,0.7472656205411152,1543714304,full,16,1e-06,25,400,89025,1.6863682947966421e-06
gsm_diagnostic,lora_qkvo16_lr1e-5_s43_step25,300,219,73.0,0.0,10,10,1.0,298.1166666666667,2,149,202,67.33333333333333,17,0,-2.666666666666667,3.0,,0.8365274130665393,4358144,lora,16,1e-05,25,400,85205,1.0
gsm_diagnostic,lora_qkvo16_lr1e-5_s44_step25,300,216,72.0,-1.0,7,10,0.629058837890625,306.1933333333333,3,154,199,66.33333333333333,17,0,-3.6666666666666665,1.6666666666666667,,0.8357223910335349,4358144,lora,16,1e-05,25,400,88722,1.0
gsm_diagnostic,lora_qkvo16_lr1e-5_s45_step25,300,219,73.0,0.0,9,9,1.0,306.37333333333333,3,161,203,67.66666666666666,16,0,-2.666666666666667,2.666666666666667,,0.8377698254986926,4358144,lora,16,1e-05,25,400,89025,1.0
math_confirmation,base,1000,568,56.8,0.0,0,0,1.0,573.502,45,1000,564,56.39999999999999,5,0,0.0,0.0,,,,,,,,,,
math_confirmation,full_lr1e-6_fp32_s43_step25,1000,319,31.900000000000002,-24.9,45,294,5.981602118464311e-46,382.328,119,0,308,30.8,11,5,-28.1,-21.7,,0.748984282158844,1543714304,full,16,1e-06,25,400,85205,2.990801059232155e-45
math_confirmation,full_lr1e-6_fp32_s44_step25,1000,325,32.5,-24.3,42,285,1.5884387662165912e-45,392.021,123,0,301,30.099999999999998,24,7,-27.6,-21.099999999999998,,0.746654100706682,1543714304,full,16,1e-06,25,400,88722,6.353755064866365e-45
math_confirmation,full_lr1e-6_fp32_s45_step25,1000,323,32.300000000000004,-24.5,40,285,1.0180676923449036e-46,398.334,128,0,304,30.4,19,4,-27.700000000000003,-21.3,,0.7472656205411152,1543714304,full,16,1e-06,25,400,89025,6.108406154069422e-46
math_confirmation,lora_qkvo16_lr1e-5_s43_step25,1000,555,55.50000000000001,-1.3,24,37,0.12373144253809215,563.811,40,526,545,54.50000000000001,11,0,-2.8000000000000003,0.2,,0.8365274130665393,4358144,lora,16,1e-05,25,400,85205,0.37119432761427645
math_confirmation,lora_qkvo16_lr1e-5_s44_step25,1000,560,56.00000000000001,-0.8,22,30,0.3317497633694906,560.664,37,538,552,55.2,9,0,-2.1999999999999997,0.6,,0.8357223910335349,4358144,lora,16,1e-05,25,400,88722,0.6634995267389812
math_confirmation,lora_qkvo16_lr1e-5_s45_step25,1000,563,56.3,-0.5,23,28,0.5758493477318467,562.338,39,555,557,55.7,7,0,-1.9,0.8999999999999999,,0.8377698254986926,4358144,lora,16,1e-05,25,400,89025,0.6634995267389812
train_probe,base,128,69,53.90625,0.0,0,0,1.0,583.015625,5,128,69,53.90625,0,0,0.0,0.0,,,,,,,,,,
train_probe,full_lr1e-6_s43_step125,128,30,23.4375,-30.46875,5,44,7.59715845788378e-09,473.515625,20,0,28,21.875,2,1,-39.84375,-21.09375,,0.7619578171953485,1543714304,full,16,1e-06,125,2000,462407,2.2791475373651338e-08
train_probe,lora_all16_lr1e-5_s43_step125,128,41,32.03125,-21.875,7,35,1.5097200957825409e-05,414.7265625,17,0,38,29.6875,3,1,-31.25,-12.5,,0.780701473580211,18464768,lora,16,1e-05,125,2000,462407,3.0194401915650818e-05
train_probe,lora_qkvo16_lr1e-5_s43_step125,128,58,45.3125,-8.59375,6,17,0.03468966484069824,484.625,6,6,54,42.1875,4,0,-15.625,-1.5625,,0.7977430893251362,4358144,lora,16,1e-05,125,2000,462407,0.03468966484069824
