scoring,metric,family,mean_delta_pp,question_ci_low,question_ci_high,seed_question_ci_low,seed_question_ci_high,seed43_delta_pp,seed44_delta_pp,seed45_delta_pp,seed46_delta_pp,seed47_delta_pp
primary_numeric_repaired,math_reused5000,teacher7_avg1234,0.804,-0.16800000000000004,1.7360999999999989,-0.20400000000000001,1.8160999999999985,0.5599999999999999,0.76,0.98,0.86,0.86
primary_numeric_repaired,math_reused5000,teacher7_epoch4,0.35200000000000004,-0.624,1.316,-0.6920999999999998,1.4040000000000001,0.8200000000000001,0.27999999999999997,0.44,-0.13999999999999999,0.36
primary_numeric_repaired,math_reused5000,teacher7_expanded_avg1234,0.628,-0.328,1.5839999999999996,-0.42,1.6920999999999986,1.18,0.0,0.5599999999999999,0.9400000000000001,0.45999999999999996
primary_numeric_repaired,math_reused5000,teacher7_expanded_epoch4,0.256,-0.696,1.2,-0.772,1.3,0.45999999999999996,0.64,0.18,0.04,-0.04
primary_numeric_repaired,mathematical_ood_macro,teacher7_avg1234,-1.913968745392894,-3.9399774558946383,0.06448996265172724,-4.083972983930415,0.18997764017887817,-1.466939407341884,-1.3842326404245908,-3.2669541500810846,-1.9678116860779398,-1.4839058430389698
primary_numeric_repaired,mathematical_ood_macro,teacher7_epoch4,-1.8544940783330877,-3.887439247628876,0.13650173227185575,-3.9898358641702294,0.23337817583173429,-2.338984716693695,-1.8945402722492506,-1.8629908103592312,-1.771610398545383,-1.404344193817878
primary_numeric_repaired,mathematical_ood_macro,teacher7_expanded_avg1234,-1.8595729519878126,-3.9445228881026098,0.2419000319426005,-4.127764325028257,0.42678583714187407,-0.5413533834586467,-1.600545481350435,-2.5182195685291657,-3.0707528625485283,-1.5669934640522878
primary_numeric_repaired,mathematical_ood_macro,teacher7_expanded_epoch4,-1.168371910167576,-3.097769177846577,0.7864363113666509,-3.3250772765246452,0.9518759521352393,-0.5468819106590005,-0.7888348321784854,-1.1225490196078431,-0.6603764312742642,-2.723217357118286
strict_numeric_repaired,math_reused5000,teacher7_avg1234,1.1280000000000001,0.15200000000000002,2.08,0.108,2.156,0.8999999999999999,1.06,1.26,1.16,1.26
strict_numeric_repaired,math_reused5000,teacher7_epoch4,0.652,-0.336,1.616,-0.416,1.7319999999999998,1.16,0.58,0.6799999999999999,0.12,0.72
strict_numeric_repaired,math_reused5000,teacher7_expanded_avg1234,0.924,-0.039999999999999945,1.872,-0.136,1.9879999999999998,1.48,0.32,0.8200000000000001,1.18,0.8200000000000001
strict_numeric_repaired,math_reused5000,teacher7_expanded_epoch4,0.5519999999999999,-0.404,1.5079999999999998,-0.48,1.6039999999999999,0.6799999999999999,0.96,0.52,0.33999999999999997,0.26
strict_numeric_repaired,mathematical_ood_macro,teacher7_avg1234,4.233065506904516,1.867412403557915,6.595446704997788,1.7287467443117601,6.7200900535652845,4.755282814880338,4.712676298589611,2.829954788933118,4.254410536144283,4.613003095975232
strict_numeric_repaired,mathematical_ood_macro,teacher7_epoch4,4.416747751732272,1.9811010369059905,6.862915683817385,1.8847119023047818,6.930277716349698,4.00578652513637,4.3276819499729715,4.35923141186299,4.450611823676839,4.940427048012188
strict_numeric_repaired,mathematical_ood_macro,teacher7_expanded_avg1234,4.3615435647943395,1.8765861344537818,6.855056943830164,1.7627383409504152,6.9447053909283,5.555555555555555,4.7442257604796305,3.5786893704850367,3.151469359673694,4.777777777777778
strict_numeric_repaired,mathematical_ood_macro,teacher7_expanded_epoch4,5.008300162170132,2.6874282520025554,7.378137930610839,2.467095803233574,7.5353867511917025,5.686778220059954,5.555936409651579,4.863248808295248,5.436532507739939,3.4990048651039363
